JOUR,SHIFT,OPÉRATEUR,ITEM,QUANTITÉ,TEMPS (h)
9,2,OP14,REPOS,0,0.0
9,3,OP01,M400200,1,4.69
9,3,OP02,M400201,1,4.69
9,3,OP03,M400228,2,6.25
9,3,OP04,M400229,2,6.25
9,3,OP05,REPOS,0,0.0
9,3,OP06,REPOS,0,0.0
9,3,OP07,REPOS,0,0.0
9,3,OP08,REPOS,0,0.0
9,3,OP09,REPOS,0,0.0
9,3,OP10,REPOS,0,0.0
9,3,OP11,REPOS,0,0.0
9,3,OP12,REPOS,0,0.0
9,3,OP13,REPOS,0,0.0
9,3,OP14,REPOS,0,0.0
10,1,OP01,M400200,1,4.69
10,1,OP02,M400201,1,4.69
10,1,OP03,M400228,2,6.25
10,1,OP04,M400229,2,6.25
10,1,OP05,M500312,8,7.5
10,1,OP06,M500318,8,7.5
10,1,OP07,M500319,8,7.5
10,1,OP08,M500323,4,7.5
10,1,OP09,M500324,4,6.25
10,1,OP10,REPOS,0,0.0
10,1,OP11,REPOS,0,0.0
10,1,OP12,REPOS,0,0.0
10,1,OP13,REPOS,0,0.0
10,1,OP14,REPOS,0,0.0
10,2,OP01,M400200,1,4.69
10,2,OP02,M400201,1,4.69
10,2,OP03,M400228,2,6.25
10,2,OP04,M400229,2,6.25
10,2,OP05,M500304,4,6.25
10,2,OP06,M500317,4,7.5
10,2,OP07,M500325,3,7.03
10,2,OP08,M500327,3,7.03
10,2,OP09,M500328,6,7.03
10,2,OP10,REPOS,0,0.0
10,2,OP11,REPOS,0,0.0
10,2,OP12,REPOS,0,0.0
10,2,OP13,REPOS,0,0.0
10,2,OP14,REPOS,0,0.0
10,3,OP01,M400200,1,4.69
10,3,OP02,M400201,1,4.69
10,3,OP03,M400228,2,6.25
10,3,OP04,M400229,2,6.25
10,3,OP05,M500324,4,6.25
10,3,OP06,REPOS,0,0.0
10,3,OP07,REPOS,0,0.0
10,3,OP08,REPOS,0,0.0
10,3,OP09,REPOS,0,0.0
10,3,OP10,REPOS,0,0.0
10,3,OP11,REPOS,0,0.0
10,3,OP12,REPOS,0,0.0
10,3,OP13,REPOS,0,0.0
10,3,OP14,REPOS,0,0.0
11,1,OP01,M400200,1,4.69
11,1,OP02,M400201,1,4.69
11,1,OP03,M400228,2,6.25
11,1,OP04,M400229,2,6.25
11,1,OP05,M500330,4,6.25
11,1,OP06,REPOS,0,0.0
11,1,OP07,REPOS,0,0.0
11,1,OP08,REPOS,0,0.0
11,1,OP09,REPOS,0,0.0
11,1,OP10,REPOS,0,0.0
11,1,OP11,REPOS,0,0.0
11,1,OP12,REPOS,0,0.0
11,1,OP13,REPOS,0,0.0
11,1,OP14,REPOS,0,0.0
11,2,OP01,M400200,1,4.69
11,2,OP02,M400201,1,4.69
11,2,OP03,M400228,2,6.25
11,2,OP04,M400229,2,6.25
11,2,OP05,M500304,4,6.25
11,2,OP06,M500311,4,7.5
11,2,OP07,M500313,8,7.5
11,2,OP08,M500317,4,7.5
11,2,OP09,M500324,4,6.25
11,2,OP10,M500325,3,7.03
11,2,OP11,M500327,3,7.03
11,2,OP12,REPOS,0,0.0
11,2,OP13,REPOS,0,0.0
11,2,OP14,REPOS,0,0.0
11,3,OP01,M400200,1,4.69
11,3,OP02,M400201,1,4.69
11,3,OP03,M400228,2,6.25
11,3,OP04,M400229,2,6.25
11,3,OP05,M500323,4,7.5
11,3,OP06,REPOS,0,0.0
11,3,OP07,REPOS,0,0.0
11,3,OP08,REPOS,0,0.0
11,3,OP09,REPOS,0,0.0
11,3,OP10,REPOS,0,0.0
11,3,OP11,REPOS,0,0.0
11,3,OP12,REPOS,0,0.0
11,3,OP13,REPOS,0,0.0
11,3,OP14,REPOS,0,0.0
12,1,OP01,M400200,1,4.69
12,1,OP02,M400201,1,4.69
12,1,OP03,M400228,2,6.25
12,1,OP04,M400229,2,6.25
12,1,OP05,M500312,8,7.5
12,1,OP06,M500318,8,7.5
12,1,OP07,M500319,8,7.5
12,1,OP08,M500324,4,6.25
12,1,OP09,REPOS,0,0.0
12,1,OP10,REPOS,0,0.0
12,1,OP11,REPOS,0,0.0
12,1,OP12,REPOS,0,0.0
12,1,OP13,REPOS,0,0.0
12,1,OP14,REPOS,0,0.0
12,2,OP01,M400200,1,4.69
12,2,OP02,M400201,1,4.69
12,2,OP03,M400228,2,6.25
12,2,OP04,M400229,2,6.25
12,2,OP05,M500304,4,6.25
12,2,OP06,M500317,4,7.5
12,2,OP07,M500325,3,7.03
12,2,OP08,M500327,3,7.03
12,2,OP09,REPOS,0,0.0
12,2,OP10,REPOS,0,0.0
12,2,OP11,REPOS,0,0.0
12,2,OP12,REPOS,0,0.0
12,2,OP13,REPOS,0,0.0
12,2,OP14,REPOS,0,0.0
12,3,OP01,M400200,1,4.69
12,3,OP02,M400201,1,4.69
12,3,OP03,M400228,2,6.25
12,3,OP04,M400229,2,6.25
12,3,OP05,M500324,4,6.25
12,3,OP06,REPOS,0,0.0
12,3,OP07,REPOS,0,0.0
12,3,OP08,REPOS,0,0.0
12,3,OP09,REPOS,0,0.0
12,3,OP10,REPOS,0,0.0
12,3,OP11,REPOS,0,0.0
12,3,OP12,REPOS,0,0.0
12,3,OP13,REPOS,0,0.0
12,3,OP14,REPOS,0,0.0
13,1,OP01,M400200,1,4.69
13,1,OP02,M400201,1,4.69
13,1,OP03,M400228,2,6.25
13,1,OP04,M400229,2,6.25
13,1,OP05,M500328,6,7.03
13,1,OP06,REPOS,0,0.0
13,1,OP07,REPOS,0,0.0
13,1,OP08,REPOS,0,0.0
13,1,OP09,REPOS,0,0.0
13,1,OP10,REPOS,0,0.0
13,1,OP11,REPOS,0,0.0
13,1,OP12,REPOS,0,0.0
13,1,OP13,REPOS,0,0.0
13,1,OP14,REPOS,0,0.0
13,2,OP01,M400200,1,4.69
13,2,OP02,M400201,1,4.69
13,2,OP03,M400228,2,6.25
13,2,OP04,M400229,2,6.25
13,2,OP05,M500304,4,6.25
13,2,OP06,M500309,3,1.41
13,2,OP07,M500317,4,7.5
13,2,OP08,M500323,4,7.5
13,2,OP09,M500324,4,6.25
13,2,OP10,M500325,3,7.03
13,2,OP11,M500327,3,7.03
13,2,OP12,M500329,8,7.5
13,2,OP13,REPOS,0,0.0
13,2,OP14,REPOS,0,0.0
13,3,OP01,M400200,1,4.69
13,3,OP02,M400201,1,4.69
13,3,OP03,M400228,2,6.25
13,3,OP04,M400229,2,6.25
13,3,OP05,M500311,4,7.5
13,3,OP06,M500313,8,7.5
13,3,OP07,REPOS,0,0.0
13,3,OP08,REPOS,0,0.0
13,3,OP09,REPOS,0,0.0
13,3,OP10,REPOS,0,0.0
13,3,OP11,REPOS,0,0.0
13,3,OP12,REPOS,0,0.0
13,3,OP13,REPOS,0,0.0
13,3,OP14,REPOS,0,0.0
14,1,OP01,M400200,1,4.69
14,1,OP02,M400201,1,4.69
14,1,OP03,M400228,2,6.25
14,1,OP04,M400229,2,6.25
14,1,OP05,M500312,8,7.5
14,1,OP06,M500318,8,7.5
14,1,OP07,M500319,8,7.5
14,1,OP08,M500324,4,6.25
14,1,OP09,REPOS,0,0.0
14,1,OP10,REPOS,0,0.0
14,1,OP11,REPOS,0,0.0
14,1,OP12,REPOS,0,0.0
14,1,OP13,REPOS,0,0.0
14,1,OP14,REPOS,0,0.0
14,2,OP01,M400200,1,4.69
14,2,OP02,M400201,1,4.69
14,2,OP03,M400228,2,6.25
14,2,OP04,M400229,2,6.25
14,2,OP05,M500304,4,6.25
14,2,OP06,M500317,4,7.5
14,2,OP07,M500325,3,7.03
14,2,OP08,M500327,3,7.03
14,2,OP09,REPOS,0,0.0
14,2,OP10,REPOS,0,0.0
14,2,OP11,REPOS,0,0.0
14,2,OP12,REPOS,0,0.0
14,2,OP13,REPOS,0,0.0
14,2,OP14,REPOS,0,0.0
14,3,OP01,M400200,1,4.69
14,3,OP02,M400201,1,4.69
14,3,OP03,M400228,2,6.25
14,3,OP04,M400229,2,6.25
14,3,OP05,M500324,4,6.25
14,3,OP06,REPOS,0,0.0
14,3,OP07,REPOS,0,0.0
14,3,OP08,REPOS,0,0.0
14,3,OP09,REPOS,0,0.0
14,3,OP10,REPOS,0,0.0
14,3,OP11,REPOS,0,0.0
14,3,OP12,REPOS,0,0.0
14,3,OP13,REPOS,0,0.0
14,3,OP14,REPOS,0,0.0
15,1,OP01,M400200,1,4.69
15,1,OP02,M400201,1,4.69
15,1,OP03,M400228,2,6.25
15,1,OP04,M400229,2,6.25
15,1,OP05,M500323,4,7.5
15,1,OP06,M500330,4,6.25
15,1,OP07,REPOS,0,0.0
15,1,OP08,REPOS,0,0.0
15,1,OP09,REPOS,0,0.0
15,1,OP10,REPOS,0,0.0
15,1,OP11,REPOS,0,0.0
15,1,OP12,REPOS,0,0.0
15,1,OP13,REPOS,0,0.0
15,1,OP14,REPOS,0,0.0
15,2,OP01,M400200,1,4.69
15,2,OP02,M400201,1,4.69
15,2,OP03,M400228,2,6.25
15,2,OP04,M400229,2,6.25
15,2,OP05,M500304,4,6.25
15,2,OP06,M500317,4,7.5
15,2,OP07,M500324,4,6.25
15,2,OP08,M500325,3,7.03
15,2,OP09,M500327,3,7.03
15,2,OP10,REPOS,0,0.0
15,2,OP11,REPOS,0,0.0
15,2,OP12,REPOS,0,0.0
15,2,OP13,REPOS,0,0.0
15,2,OP14,REPOS,0,0.0
15,3,OP01,M400200,1,4.69
15,3,OP02,M400201,1,4.69
15,3,OP03,M400228,2,6.25
15,3,OP04,M400229,2,6.25
15,3,OP05,M500328,6,7.03
15,3,OP06,REPOS,0,0.0
15,3,OP07,REPOS,0,0.0
15,3,OP08,REPOS,0,0.0
15,3,OP09,REPOS,0,0.0
15,3,OP10,REPOS,0,0.0
15,3,OP11,REPOS,0,0.0
15,3,OP12,REPOS,0,0.0
15,3,OP13,REPOS,0,0.0
15,3,OP14,REPOS,0,0.0
16,1,OP01,M400200,1,4.69
16,1,OP02,M400201,1,4.69
16,1,OP03,M400228,2,6.25
16,1,OP04,M400229,1,3.12
16,1,OP05,M500311,4,7.5
16,1,OP06,M500312,8,7.5
16,1,OP07,M500313,8,7.5
16,1,OP08,M500318,8,7.5
16,1,OP09,M500319,8,7.5
16,1,OP10,M500324,4,6.25
16,1,OP11,REPOS,0,0.0
16,1,OP12,REPOS,0,0.0
16,1,OP13,REPOS,0,0.0
16,1,OP14,REPOS,0,0.0
16,2,OP01,M400201,1,4.69
16,2,OP02,M400228,2,6.25
16,2,OP03,M500304,4,6.25
16,2,OP04,M500317,4,7.5
16,2,OP05,M500325,3,7.03
16,2,OP06,M500327,3,7.03
16,2,OP07,REPOS,0,0.0
16,2,OP08,REPOS,0,0.0
16,2,OP09,REPOS,0,0.0
16,2,OP10,REPOS,0,0.0
16,2,OP11,REPOS,0,0.0
16,2,OP12,REPOS,0,0.0
16,2,OP13,REPOS,0,0.0
16,2,OP14,REPOS,0,0.0
16,3,OP01,M400201,1,4.69
16,3,OP02,M400228,2,6.25
16,3,OP03,M500323,4,7.5
16,3,OP04,M500324,4,6.25
16,3,OP05,REPOS,0,0.0
16,3,OP06,REPOS,0,0.0
16,3,OP07,REPOS,0,0.0
16,3,OP08,REPOS,0,0.0
16,3,OP09,REPOS,0,0.0
16,3,OP10,REPOS,0,0.0
16,3,OP11,REPOS,0,0.0
16,3,OP12,REPOS,0,0.0
16,3,OP13,REPOS,0,0.0
16,3,OP14,REPOS,0,0.0
17,1,OP01,M400201,1,4.69
17,1,OP02,M400228,1,3.12
17,1,OP03,REPOS,0,0.0
17,1,OP04,REPOS,0,0.0
17,1,OP05,REPOS,0,0.0
17,1,OP06,REPOS,0,0.0
17,1,OP07,REPOS,0,0.0
17,1,OP08,REPOS,0,0.0
17,1,OP09,REPOS,0,0.0
17,1,OP10,REPOS,0,0.0
17,1,OP11,REPOS,0,0.0
17,1,OP12,REPOS,0,0.0
17,1,OP13,REPOS,0,0.0
17,1,OP14,REPOS,0,0.0
17,2,OP01,M400201,1,4.69
17,2,OP02,M500304,4,6.25
17,2,OP03,M500317,4,7.5
17,2,OP04,M500324,4,6.25
17,2,OP05,M500325,3,7.03
17,2,OP06,M500327,3,7.03
17,2,OP07,REPOS,0,0.0
17,2,OP08,REPOS,0,0.0
17,2,OP09,REPOS,0,0.0
17,2,OP10,REPOS,0,0.0
17,2,OP11,REPOS,0,0.0
17,2,OP12,REPOS,0,0.0
17,2,OP13,REPOS,0,0.0
17,2,OP14,REPOS,0,0.0
17,3,OP01,M400201,1,4.69
17,3,OP02,REPOS,0,0.0
17,3,OP03,REPOS,0,0.0
17,3,OP04,REPOS,0,0.0
17,3,OP05,REPOS,0,0.0
17,3,OP06,REPOS,0,0.0
17,3,OP07,REPOS,0,0.0
17,3,OP08,REPOS,0,0.0
17,3,OP09,REPOS,0,0.0
17,3,OP10,REPOS,0,0.0
17,3,OP11,REPOS,0,0.0
17,3,OP12,REPOS,0,0.0
17,3,OP13,REPOS,0,0.0
17,3,OP14,REPOS,0,0.0
18,1,OP01,M400201,1,4.69
18,1,OP02,M500312,8,7.5
18,1,OP03,M500318,8,7.5
18,1,OP04,M500319,8,7.5
18,1,OP05,M500324,4,6.25
18,1,OP06,REPOS,0,0.0
18,1,OP07,REPOS,0,0.0
18,1,OP08,REPOS,0,0.0
18,1,OP09,REPOS,0,0.0
18,1,OP10,REPOS,0,0.0
18,1,OP11,REPOS,0,0.0
18,1,OP12,REPOS,0,0.0
18,1,OP13,REPOS,0,0.0
18,1,OP14,REPOS,0,0.0
18,2,OP01,M400201,1,4.69
18,2,OP02,M500304,4,6.25
18,2,OP03,M500311,4,7.5
18,2,OP04,M500313,8,7.5
18,2,OP05,M500317,4,7.5
18,2,OP06,M500323,4,7.5
18,2,OP07,M500325,3,7.03
18,2,OP08,M500327,3,7.03
18,2,OP09,M500328,6,7.03
18,2,OP10,M500329,8,7.5
18,2,OP11,REPOS,0,0.0
18,2,OP12,REPOS,0,0.0
18,2,OP13,REPOS,0,0.0
18,2,OP14,REPOS,0,0.0
18,3,OP01,M400201,1,4.69
18,3,OP02,M500324,4,6.25
18,3,OP03,REPOS,0,0.0
18,3,OP04,REPOS,0,0.0
18,3,OP05,REPOS,0,0.0
18,3,OP06,REPOS,0,0.0
18,3,OP07,REPOS,0,0.0
18,3,OP08,REPOS,0,0.0
18,3,OP09,REPOS,0,0.0
